CustomerID,Gender,Age,Country,City,BranchID,PaymentType,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Value_Tier
697021,Female,55,Singapore,Singapore,BR-004,Credit,2024-04-26,302,1,605.11,3,1,1,311,5,Need Attention,Low Value
780326,Male,67,Japan,Tokyo,BR-005,Instant,2023-10-13,498,4,1218.42,2,4,4,244,10,At Risk,Medium Value
920704,Female,22,Japan,Tokyo,BR-005,Instant,2024-01-19,400,1,1636.51,3,1,5,315,9,Need Attention,High Value
2803273,Male,18,Brazil,Rio de Janeiro,BR-006,Credit,2023-08-22,550,2,1584.16,2,1,5,215,8,Lost Customers,High Value
3654304,Female,75,Canada,Invalid_City,BR-007,Credit,2024-01-06,413,4,1360.42,3,4,4,344,11,Loyal Customers,Medium Value
3734747,Female,68,Singapore,Josephmouth,BR-004,Instant,2024-12-29,55,5,189.21,5,5,1,551,11,Loyal Customers,Low Value
4374278,Male,50,Germany,Berlin,BR-001,Credit,2023-09-13,528,2,2299.54,2,1,5,215,8,Lost Customers,High Value
5980458,Male,19,France,Paris,BR-002,Instant,2023-10-24,487,0,1244.18,2,1,4,214,7,Lost Customers,Medium Value
6039010,Female,30,Germany,Berlin,BR-001,Instant,2024-07-10,227,1,654.86,4,1,2,412,7,New Customers,Low Value
6347590,Male,29,Japan,Tokyo,BR-005,Credit,2023-10-23,488,0,734.12,2,1,2,212,5,Lost Customers,Low Value
6400920,Female,21,Japan,Tokyo,BR-005,Instant,2024-01-02,417,4,939.22,3,4,3,343,10,Loyal Customers,Low Value
7114031,Male,56,Germany,Berlin,BR-001,Instant,2024-06-11,256,1,1314.06,4,1,4,414,9,New Customers,Medium Value
8092246,Male,44,France,Paris,BR-002,Instant,2023-05-11,653,3,816.68,1,3,2,132,6,At Risk,Low Value
9888245,Female,30,France,Paris,BR-002,Credit,2024-06-12,255,7,1178.6,4,5,4,454,13,Champions,Medium Value
11058103,Male,52,Japan,Invalid_City,BR-005,Credit,2024-05-21,277,2,752.78,4,1,2,412,7,New Customers,Low Value
11747398,Other,37,Canada,Toronto,BR-007,Instant,2024-05-20,278,4,858.49,4,4,2,442,10,Loyal Customers,Low Value
11941894,Other,33,Singapore,Singapore,BR-004,Instant,2023-09-16,525,2,611.26,2,1,1,211,4,Lost Customers,Low Value
12554346,,51,South Africa,Drakechester,BR-003,Instant,2024-02-11,377,2,1579.97,3,1,5,315,9,Need Attention,High Value
14082216,Male,57,Germany,Washingtonfurt,BR-001,Credit,2025-02-02,20,3,1708.41,5,3,5,535,13,Loyal Customers,High Value
15021549,Other,41,France,Invalid_City,BR-002,Instant,2023-07-06,597,3,1291.54,1,3,4,134,8,At Risk,Medium Value
